hand,truco_score
1e 1b 1o,36
1e 1b 1c,36
1e 1b 2e,36
1e 1b 2b,36
1e 1b 2o,36
1e 1b 2c,36
1e 1b 3e,36
1e 1b 3b,36
1e 1b 3o,36
1e 1b 3c,36
1e 1b 4e,36
1e 1b 4b,36
1e 1b 4o,36
1e 1b 4c,36
1e 1b 5e,36
1e 1b 5b,36
1e 1b 5o,36
1e 1b 5c,36
1e 1b 6e,36
1e 1b 6b,36
1e 1b 6o,36
1e 1b 6c,36
1e 1b 7e,36
1e 1b 7b,36
1e 1b 7o,36
1e 1b 7c,36
1e 1b 10e,36
1e 1b 10b,36
1e 1b 10o,36
1e 1b 10c,36
1e 1b 11e,36
1e 1b 11b,36
1e 1b 11o,36
1e 1b 11c,36
1e 1b 12e,36
1e 1b 12b,36
1e 1b 12o,36
1e 1b 12c,36
1e 1o 1c,30.054054
1e 1o 2e,31.675676
1e 1o 2b,31.675676
1e 1o 2o,31.675676
1e 1o 2c,31.675676
1e 1o 3e,33.72973
1e 1o 3b,33.72973
1e 1o 3o,33.72973
1e 1o 3c,33.72973
1e 1o 4e,14.594595
1e 1o 4b,14.594595
1e 1o 4o,14.594595
1e 1o 4c,14.594595
1e 1o 5e,17.081081
1e 1o 5b,17.081081
1e 1o 5o,17.081081
1e 1o 5c,17.081081
1e 1o 6e,19.567568
1e 1o 6b,19.567568
1e 1o 6o,19.567568
1e 1o 6c,19.567568
1e 1o 7e,35.48649
1e 1o 7b,21.405405
1e 1o 7o,34.972973
1e 1o 7c,21.405405
1e 1o 10e,23.297297
1e 1o 10b,23.297297
1e 1o 10o,23.297297
1e 1o 10c,23.297297
1e 1o 11e,25.783783
1e 1o 11b,25.783783
1e 1o 11o,25.783783
1e 1o 11c,25.783783
1e 1o 12e,28.27027
1e 1o 12b,28.27027
1e 1o 12o,28.27027
1e 1o 12c,28.27027
1e 1c 2e,31.675676
1e 1c 2b,31.675676
1e 1c 2o,31.675676
1e 1c 2c,31.675676
1e 1c 3e,33.72973
1e 1c 3b,33.72973
1e 1c 3o,33.72973
1e 1c 3c,33.72973
1e 1c 4e,14.594595
1e 1c 4b,14.594595
1e 1c 4o,14.594595
1e 1c 4c,14.594595
1e 1c 5e,17.081081
1e 1c 5b,17.081081
1e 1c 5o,17.081081
1e 1c 5c,17.081081
1e 1c 6e,19.567568
1e 1c 6b,19.567568
1e 1c 6o,19.567568
1e 1c 6c,19.567568
1e 1c 7e,35.48649
1e 1c 7b,21.405405
1e 1c 7o,34.972973
1e 1c 7c,21.405405
1e 1c 10e,23.297297
1e 1c 10b,23.297297
1e 1c 10o,23.297297
1e 1c 10c,23.297297
1e 1c 11e,25.783783
1e 1c 11b,25.783783
1e 1c 11o,25.783783
1e 1c 11c,25.783783
1e 1c 12e,28.27027
1e 1c 12b,28.27027
1e 1c 12o,28.27027
1e 1c 12c,28.27027
1e 2e 2b,32.972973
1e 2e 2o,32.972973
1e 2e 2c,32.972973
1e 2e 3e,34.54054
1e 2e 3b,34.54054
1e 2e 3o,34.54054
1e 2e 3c,34.54054
1e 2e 4e,20.27027
1e 2e 4b,20.27027
1e 2e 4o,20.27027
1e 2e 4c,20.27027
1e 2e 5e,22.108109
1e 2e 5b,22.108109
1e 2e 5o,22.108109
1e 2e 5c,22.108109
1e 2e 6e,23.945946
1e 2e 6b,23.945946
1e 2e 6o,23.945946
1e 2e 6c,23.945946
1e 2e 7e,35.648647
1e 2e 7b,25.243244
1e 2e 7o,35.2973
1e 2e 7c,25.243244
1e 2e 10e,26.702703
1e 2e 10b,26.702703
1e 2e 10o,26.702703
1e 2e 10c,26.702703
1e 2e 11e,28.54054
1e 2e 11b,28.54054
1e 2e 11o,28.54054
1e 2e 11c,28.54054
1e 2e 12e,30.378378
1e 2e 12b,30.378378
1e 2e 12o,30.378378
1e 2e 12c,30.378378
1e 2b 2o,32.972973
1e 2b 2c,32.972973
1e 2b 3e,34.54054
1e 2b 3b,34.54054
1e 2b 3o,34.54054
1e 2b 3c,34.54054
1e 2b 4e,20.27027
1e 2b 4b,20.27027
1e 2b 4o,20.27027
1e 2b 4c,20.27027
1e 2b 5e,22.108109
1e 2b 5b,22.108109
1e 2b 5o,22.108109
1e 2b 5c,22.108109
1e 2b 6e,23.945946
1e 2b 6b,23.945946
1e 2b 6o,23.945946
1e 2b 6c,23.945946
1e 2b 7e,35.648647
1e 2b 7b,25.243244
1e 2b 7o,35.2973
1e 2b 7c,25.243244
1e 2b 10e,26.702703
1e 2b 10b,26.702703
1e 2b 10o,26.702703
1e 2b 10c,26.702703
1e 2b 11e,28.54054
1e 2b 11b,28.54054
1e 2b 11o,28.54054
1e 2b 11c,28.54054
1e 2b 12e,30.378378
1e 2b 12b,30.378378
1e 2b 12o,30.378378
1e 2b 12c,30.378378
1e 2o 2c,32.972973
1e 2o 3e,34.54054
1e 2o 3b,34.54054
1e 2o 3o,34.54054
1e 2o 3c,34.54054
1e 2o 4e,20.27027
1e 2o 4b,20.27027
1e 2o 4o,20.27027
1e 2o 4c,20.27027
1e 2o 5e,22.108109
1e 2o 5b,22.108109
1e 2o 5o,22.108109
1e 2o 5c,22.108109
1e 2o 6e,23.945946
1e 2o 6b,23.945946
1e 2o 6o,23.945946
1e 2o 6c,23.945946
1e 2o 7e,35.648647
1e 2o 7b,25.243244
1e 2o 7o,35.2973
1e 2o 7c,25.243244
1e 2o 10e,26.702703
1e 2o 10b,26.702703
1e 2o 10o,26.702703
1e 2o 10c,26.702703
1e 2o 11e,28.54054
1e 2o 11b,28.54054
1e 2o 11o,28.54054
1e 2o 11c,28.54054
1e 2o 12e,30.378378
1e 2o 12b,30.378378
1e 2o 12o,30.378378
1e 2o 12c,30.378378
1e 2c 3e,34.54054
1e 2c 3b,34.54054
1e 2c 3o,34.54054
1e 2c 3c,34.54054
1e 2c 4e,20.27027
1e 2c 4b,20.27027
1e 2c 4o,20.27027
1e 2c 4c,20.27027
1e 2c 5e,22.108109
1e 2c 5b,22.108109
1e 2c 5o,22.108109
1e 2c 5c,22.108109
1e 2c 6e,23.945946
1e 2c 6b,23.945946
1e 2c 6o,23.945946
1e 2c 6c,23.945946
1e 2c 7e,35.648647
1e 2c 7b,25.243244
1e 2c 7o,35.2973
1e 2c 7c,25.243244
1e 2c 10e,26.702703
1e 2c 10b,26.702703
1e 2c 10o,26.702703
1e 2c 10c,26.702703
1e 2c 11e,28.54054
1e 2c 11b,28.54054
1e 2c 11o,28.54054
1e 2c 11c,28.54054
1e 2c 12e,30.378378
1e 2c 12b,30.378378
1e 2c 12o,30.378378
1e 2c 12c,30.378378
1e 3e 3b,35.351353
1e 3e 3o,35.351353
1e 3e 3c,35.351353
1e 3e 4e,27.72973
1e 3e 4b,27.72973
1e 3e 4o,27.72973
1e 3e 4c,27.72973
1e 3e 5e,28.702703
1e 3e 5b,28.702703
1e 3e 5o,28.702703
1e 3e 5c,28.702703
1e 3e 6e,29.675676
1e 3e 6b,29.675676
1e 3e 6o,29.675676
1e 3e 6c,29.675676
1e 3e 7e,35.864864
1e 3e 7b,30.324324
1e 3e 7o,35.72973
1e 3e 7c,30.324324
1e 3e 10e,31.135136
1e 3e 10b,31.135136
1e 3e 10o,31.135136
1e 3e 10c,31.135136
1e 3e 11e,32.10811
1e 3e 11b,32.10811
1e 3e 11o,32.10811
1e 3e 11c,32.10811
1e 3e 12e,33.08108
1e 3e 12b,33.08108
1e 3e 12o,33.08108
1e 3e 12c,33.08108
1e 3b 3o,35.351353
1e 3b 3c,35.351353
1e 3b 4e,27.72973
1e 3b 4b,27.72973
1e 3b 4o,27.72973
1e 3b 4c,27.72973
1e 3b 5e,28.702703
1e 3b 5b,28.702703
1e 3b 5o,28.702703
1e 3b 5c,28.702703
1e 3b 6e,29.675676
1e 3b 6b,29.675676
1e 3b 6o,29.675676
1e 3b 6c,29.675676
1e 3b 7e,35.864864
1e 3b 7b,30.324324
1e 3b 7o,35.72973
1e 3b 7c,30.324324
1e 3b 10e,31.135136
1e 3b 10b,31.135136
1e 3b 10o,31.135136
1e 3b 10c,31.135136
1e 3b 11e,32.10811
1e 3b 11b,32.10811
1e 3b 11o,32.10811
1e 3b 11c,32.10811
1e 3b 12e,33.08108
1e 3b 12b,33.08108
1e 3b 12o,33.08108
1e 3b 12c,33.08108
1e 3o 3c,35.351353
1e 3o 4e,27.72973
1e 3o 4b,27.72973
1e 3o 4o,27.72973
1e 3o 4c,27.72973
1e 3o 5e,28.702703
1e 3o 5b,28.702703
1e 3o 5o,28.702703
1e 3o 5c,28.702703
1e 3o 6e,29.675676
1e 3o 6b,29.675676
1e 3o 6o,29.675676
1e 3o 6c,29.675676
1e 3o 7e,35.864864
1e 3o 7b,30.324324
1e 3o 7o,35.72973
1e 3o 7c,30.324324
1e 3o 10e,31.135136
1e 3o 10b,31.135136
1e 3o 10o,31.135136
1e 3o 10c,31.135136
1e 3o 11e,32.10811
1e 3o 11b,32.10811
1e 3o 11o,32.10811
1e 3o 11c,32.10811
1e 3o 12e,33.08108
1e 3o 12b,33.08108
1e 3o 12o,33.08108
1e 3o 12c,33.08108
1e 3c 4e,27.72973
1e 3c 4b,27.72973
1e 3c 4o,27.72973
1e 3c 4c,27.72973
1e 3c 5e,28.702703
1e 3c 5b,28.702703
1e 3c 5o,28.702703
1e 3c 5c,28.702703
1e 3c 6e,29.675676
1e 3c 6b,29.675676
1e 3c 6o,29.675676
1e 3c 6c,29.675676
1e 3c 7e,35.864864
1e 3c 7b,30.324324
1e 3c 7o,35.72973
1e 3c 7c,30.324324
1e 3c 10e,31.135136
1e 3c 10b,31.135136
1e 3c 10o,31.135136
1e 3c 10c,31.135136
1e 3c 11e,32.10811
1e 3c 11b,32.10811
1e 3c 11o,32.10811
1e 3c 11c,32.10811
1e 3c 12e,33.08108
1e 3c 12b,33.08108
1e 3c 12o,33.08108
1e 3c 12c,33.08108
1e 4e 4b,-32.10811
1e 4e 4o,-32.10811
1e 4e 4c,-32.10811
1e 4e 5e,-24.486486
1e 4e 5b,-24.486486
1e 4e 5o,-24.486486
1e 4e 5c,-24.486486
1e 4e 6e,-17.027027
1e 4e 6b,-17.027027
1e 4e 6o,-17.027027
1e 4e 6c,-17.027027
1e 4e 7e,34.135136
1e 4e 7b,-11.513514
1e 4e 7o,32.27027
1e 4e 7c,-11.513514
1e 4e 10e,-5.8378377
1e 4e 10b,-5.8378377
1e 4e 10o,-5.8378377
1e 4e 10c,-5.8378377
1e 4e 11e,1.6216216
1e 4e 11b,1.6216216
1e 4e 11o,1.6216216
1e 4e 11c,1.6216216
1e 4e 12e,9.081081
1e 4e 12b,9.081081
1e 4e 12o,9.081081
1e 4e 12c,9.081081
1e 4b 4o,-32.10811
1e 4b 4c,-32.10811
1e 4b 5e,-24.486486
1e 4b 5b,-24.486486
1e 4b 5o,-24.486486
1e 4b 5c,-24.486486
1e 4b 6e,-17.027027
1e 4b 6b,-17.027027
1e 4b 6o,-17.027027
1e 4b 6c,-17.027027
1e 4b 7e,34.135136
1e 4b 7b,-11.513514
1e 4b 7o,32.27027
1e 4b 7c,-11.513514
1e 4b 10e,-5.8378377
1e 4b 10b,-5.8378377
1e 4b 10o,-5.8378377
1e 4b 10c,-5.8378377
1e 4b 11e,1.6216216
1e 4b 11b,1.6216216
1e 4b 11o,1.6216216
1e 4b 11c,1.6216216
1e 4b 12e,9.081081
1e 4b 12b,9.081081
1e 4b 12o,9.081081
1e 4b 12c,9.081081
1e 4o 4c,-32.10811
1e 4o 5e,-24.486486
1e 4o 5b,-24.486486
1e 4o 5o,-24.486486
1e 4o 5c,-24.486486
1e 4o 6e,-17.027027
1e 4o 6b,-17.027027
1e 4o 6o,-17.027027
1e 4o 6c,-17.027027
1e 4o 7e,34.135136
1e 4o 7b,-11.513514
1e 4o 7o,32.27027
1e 4o 7c,-11.513514
