hand,strength,envido,combined
1e 1b 10o,1.000000,1,0.515152
1e 1b 5e,1.000000,26,0.893939
1e 1b 3b,1.000000,24,0.863636
1e 1b 2b,1.000000,23,0.848485
1e 1b 2c,1.000000,2,0.530303
1e 1b 2e,1.000000,23,0.848485
1e 1b 2o,1.000000,2,0.530303
1e 1b 1c,1.000000,1,0.515152
1e 1b 3o,1.000000,3,0.545455
1e 1b 3c,1.000000,3,0.545455
1e 1b 4b,1.000000,25,0.878788
1e 1b 4c,1.000000,4,0.560606
1e 1b 1o,1.000000,1,0.515152
1e 1b 4o,1.000000,4,0.560606
1e 1b 4e,1.000000,25,0.878788
1e 1b 5b,1.000000,26,0.893939
1e 1b 5c,1.000000,5,0.575758
1e 1b 6e,1.000000,27,0.909091
1e 1b 5o,1.000000,5,0.575758
1e 1b 7e,1.000000,28,0.924242
1e 1b 6o,1.000000,6,0.590909
1e 1b 6c,1.000000,6,0.590909
1e 1b 6b,1.000000,27,0.909091
1e 1b 7b,1.000000,28,0.924242
1e 1b 3e,1.000000,24,0.863636
1b 7e 7o,1.000000,7,0.606061
1e 1b 7o,1.000000,7,0.606061
1e 1b 10b,1.000000,21,0.818182
1e 1b 10e,1.000000,21,0.818182
1e 1b 11b,1.000000,21,0.818182
1e 1b 10c,1.000000,1,0.515152
1e 1b 11e,1.000000,21,0.818182
1e 1b 11o,1.000000,1,0.515152
1e 1b 11c,1.000000,1,0.515152
1e 1b 12e,1.000000,21,0.818182
1e 1b 12b,1.000000,21,0.818182
1e 1b 12c,1.000000,1,0.515152
1e 1b 12o,1.000000,1,0.515152
1e 1b 7c,1.000000,7,0.606061
1e 7e 7o,1.000000,28,0.924242
1e 7e 3b,0.998123,28,0.923304
1e 7e 3e,0.998123,30,0.953607
1e 7e 3o,0.998123,28,0.923304
1e 7e 3c,0.998123,28,0.923304
1e 7o 3b,0.996246,7,0.604184
1e 7o 3e,0.996246,24,0.861759
1b 7e 3e,0.996246,30,0.952669
1e 7o 3o,0.996246,30,0.952669
1b 7e 3b,0.996246,24,0.861759
1b 7e 3c,0.996246,7,0.604184
1e 7o 3c,0.996246,7,0.604184
1b 7e 3o,0.996246,7,0.604184
1e 7e 2c,0.995120,28,0.921803
1e 7e 2e,0.995120,29,0.936954
1e 7e 2o,0.995120,28,0.921803
1e 7e 2b,0.995120,28,0.921803
1b 7o 3o,0.993683,30,0.951387
1b 7o 3b,0.993683,24,0.860478
1b 7o 3c,0.993683,7,0.602902
1b 7o 3e,0.993683,7,0.602902
1e 7e 1c,0.992868,28,0.920676
1e 7e 1o,0.992868,28,0.920676
7e 7o 3e,0.991120,30,0.950105
7e 7o 3c,0.991120,7,0.601620
7e 7o 3o,0.991120,30,0.950105
7e 7o 3b,0.991120,7,0.601620
1e 3b 3o,0.990991,3,0.540950
1e 3b 3c,0.990991,3,0.540950
1e 3o 3c,0.990991,3,0.540950
1e 3e 3c,0.990991,24,0.859132
1e 3e 3o,0.990991,24,0.859132
1e 3e 3b,0.990991,24,0.859132
