pair,is_envido,truco_max,truco_min,truco_mean,truco_median,envido_max,envido_min,envido_mean,envido_median,combined_mean,count
10 10,true,0.296761,0.155234,0.219431,0.206542,27,24,25.29,25,0.492832,42
10 10,false,0.336036,0.155234,0.229570,0.206542,7,0,4.83,5,0.187908,46
10 4,true,0.016581,0.016581,0.016581,0.016581,24,24,24.00,24,0.371927,12
10 4,false,0.016581,0.016581,0.016581,0.016581,4,4,4.00,4,0.068897,12
10 5,true,0.097319,0.054183,0.064137,0.054183,29,24,26.00,25,0.426008,52
10 5,false,0.097319,0.054183,0.068562,0.054183,5,5,5.00,5,0.110038,36
10 6,true,0.186293,0.093651,0.125580,0.139296,31,24,27.17,26,0.474516,92
10 6,false,0.186293,0.093651,0.130437,0.139296,6,6,6.00,6,0.156128,60
10 7f,true,0.259202,0.124668,0.175921,0.173145,33,24,28.35,27,0.517579,62
10 7f,false,0.259202,0.124668,0.177674,0.173145,7,7,7.00,7,0.194898,38
11 10,true,0.389254,0.197812,0.275803,0.252381,27,20,23.41,24,0.492566,152
11 10,false,0.389254,0.197812,0.281475,0.279666,7,0,4.62,5,0.210813,96
11 11,true,0.444380,0.250386,0.347393,0.361240,27,20,24.11,25,0.539016,54
11 11,false,0.500000,0.250386,0.357917,0.361240,7,0,3.83,5,0.236952,58
11 4,true,0.022587,0.022587,0.022587,0.022587,24,24,24.00,24,0.374930,12
11 4,false,0.022587,0.022587,0.022587,0.022587,4,4,4.00,4,0.071900,12
11 5,true,0.123917,0.071686,0.083739,0.071686,29,24,26.00,25,0.435809,52
11 5,false,0.123917,0.071686,0.089096,0.071686,5,5,5.00,5,0.120306,36
11 6,true,0.227992,0.122136,0.158774,0.174646,31,24,27.17,26,0.491113,92
11 6,false,0.227992,0.122136,0.164311,0.174646,6,6,6.00,6,0.173065,60
11 7f,true,0.308623,0.161133,0.217453,0.214414,33,24,28.35,27,0.538345,62
11 7f,false,0.308623,0.161133,0.219373,0.214414,7,7,7.00,7,0.215747,38
12 10,true,0.443308,0.242771,0.324607,0.300086,27,20,23.41,24,0.516969,152
12 10,false,0.443308,0.242771,0.330542,0.328743,7,0,4.62,5,0.235347,96
12 11,true,0.555620,0.304204,0.411684,0.416088,27,20,22.70,24,0.549750,192
12 11,false,0.555620,0.304204,0.417441,0.416088,7,0,3.70,4,0.264781,120
12 12,true,0.610747,0.367503,0.489101,0.475611,27,20,23.36,24,0.598545,66
12 12,false,0.663964,0.367503,0.499093,0.475611,7,0,3.17,4,0.297599,70
12 4,true,0.028593,0.028593,0.028593,0.028593,24,24,24.00,24,0.377933,12
12 4,false,0.028593,0.028593,0.028593,0.028593,4,4,4.00,4,0.074903,12
12 5,true,0.150515,0.089189,0.103341,0.089189,29,24,26.00,25,0.445610,52
12 5,false,0.150515,0.089189,0.109631,0.089189,5,5,5.00,5,0.130573,36
12 6,true,0.269691,0.150622,0.191968,0.209996,31,24,27.17,26,0.507710,92
12 6,false,0.269691,0.150622,0.198185,0.209996,6,6,6.00,6,0.190002,60
12 7f,true,0.358044,0.197598,0.258986,0.255684,33,24,28.35,27,0.559112,62
12 7f,false,0.358044,0.197598,0.261072,0.255684,7,7,7.00,7,0.236596,38
