pair,strength
1e 7o,0.972222
2 5,0.135890
12 4,0.028593
1e 6,0.326221
3 4,0.043608
1f 12,0.544927
1b 7f,0.411583
1e 3,0.934920
2 11,0.497711
10 10,0.224731
12 10,0.326905
10 4,0.016581
1e 7e,0.986486
1f 6,0.220941
6 4,0.007572
1e 7f,0.421982
7e 4,0.051051
1b 6,0.317855
7e 1f,0.769223
7e 11,0.603270
7e 7f,0.401184
5 4,0.001566
1b 11,0.617239
5 5,0.016418
11 5,0.085931
1b 2,0.847695
2 12,0.589850
7o 4,0.049550
7o 1f,0.753882
12 7f,0.259779
1b 7o,0.958333
3 11,0.553587
12 12,0.494244
1f 5,0.122610
7f 5,0.052668
6 5,0.035972
10 7f,0.176587
1b 10,0.505501
12 6,0.194422
3 1f,0.716003
3 5,0.155873
11 4,0.022587
7f 4,0.013535
7e 3,0.905542
11 7f,0.218183
3 12,0.649973
3 7f,0.363768
7e 5,0.175921
10 5,0.065947
7o 2,0.817021
7e 12,0.702831
11 6,0.160960
1e 4,0.054054
10 6,0.127498
11 11,0.352843
1b 5,0.180917
1b 12,0.717862
1e 10,0.517727
2 4,0.037602
2 10,0.400264
1f 7f,0.291655
2 1f,0.654641
1f 11,0.456333
1e 1f,0.799904
7o 7f,0.390785
1e 12,0.732892
11 10,0.277999
3 10,0.449170
7f 7f,0.143930
1e 2,0.863033
2 6,0.244615
1b 7e,0.972973
4 4,0.000000
1e 1b,1.000000
1b 4,0.052553
1b 3,0.920231
2 2,0.713175
1f 10,0.364459
1f 4,0.034556
12 11,0.413898
1e 5,0.185913
6 6,0.075339
7e 7o,0.944444
1b 1f,0.784563
7o 3,0.890853
7o 6,0.301124
1f 1f,0.604891
7e 2,0.832358
3 3,0.851722
12 5,0.105914
7o 10,0.481048
2 7f,0.322172
7e 10,0.493274
7e 6,0.309490
7o 11,0.589301
7f 6,0.103824
7o 12,0.687801
1e 11,0.631208
7o 5,0.170925
3 2,0.779213
3 6,0.278077
